IGNORE,gold_label,Premise,Hypothesis,pred_label,satisfactory_score,pred_expl,Expl_1,Expl_2,Expl_3,smallestMED
24,neutral,A young boy in a field of flowers carrying a ball,boy leaving baseball game,contradiction,0, the boy can not be leaving a field of flowers and playing baseball at the same time .,the boy is not necessarily leaving a baseball game .,the fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game .,"just because the boy has a ball does not mean he has been at a baseball game , and if he has , he may still be playing , not leaving the game .",47
25,entailment,A young boy in a field of flowers carrying a ball,boy in field,entailment,1, a field of flowers is a field .,young boy in a field is a boy in a field,a boy in a field must be a young boy boy in a field of flowers .,a young boy can be commonly called a boy .,18
26,contradiction,A young boy in a field of flowers carrying a ball,dog in pool,contradiction,0, a dog is not a young boy .,the boy can not also be a dog,there can either be a boy or a dog .,a boy and a dog are different things .,16
28,contradiction,Families waiting in line at an amusement park for their turn to ride .,People are waiting in line at a restaurant .,contradiction,1, restaurant is not an amusement park .,the people are either at an amusement park or at a restaurant but not at both simultaneously .,amusement part and restaurant are not the same place .,people ca n't be in line at restaurant if they are in line at amusement park,30
29,contradiction,Families waiting in line at an amusement park for their turn to ride .,People are waiting to see a movie .,neutral,0, people waiting in line at an amusement park are not necessarily waiting to see a movie .,one does not usually see a movie at an amusement park .,people ca n't be waiting to see a movie if they are waiting to ride,someone waiting to see a movie can not be in line at an amusement park for their turn to ride .,32
30,entailment,A senior is waiting at the window of a restaurant that serves sandwiches .,A person waits to be served his food .,entailment,0, a senior is a person ; a person who serves sandwiches is waiting to be served .,a person waiting at the window of a restaurant that serves sandwiches is waiting to be served food .,"a senior waiting is a person who waits , and somewhere that serves sandwiches will have served food .",a senior is a person .,49
31,contradiction,A senior is waiting at the window of a restaurant that serves sandwiches .,A man is waiting in line for the bus .,contradiction,0, a senior is not a man .,the person can not be waiting at the window of a restaurant and waiting in line for the bus simultaneously .,one can not be in line for a bus and at a restaurant at the same time .,the man can not be waiting at the window of a restaurant and in line for the bus simultaneously .,24
32,neutral,A senior is waiting at the window of a restaurant that serves sandwiches .,A man is looking to order a grilled cheese sandwich .,neutral,0, not all men are a ceo ; not all restaurants are a burger cheese sandwich .,a senior is not necessarily a man ; waiting at the window of a restaurant does not necessarily imply wanting to order a grilled cheese sandwich .,"a man waiting at the window of a sandwich restaurant may order any kind of sandwich , it is not implied that he wants a grilled cheese sandwich .",the man may not be going to make an order and may not want a sandwich of grilled cheese,43
34,contradiction,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .",Nobody has a suit,contradiction,1," man is somebody , not nobody .",if nobody has a suit then a man ca n't be wearing a suit .,it is stated that there is at least one person wearing a black suit .,the man cant wear a suit when no one is wearing a suit .,19
35,neutral,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .",A tall person in a suit,neutral,1, not all men are tall .,not all tall people are men .,the fact that someone is a man in a suit does not necessarily imply that they are tall .,the man in a suit may not be tall,16
37,contradiction,Two women having drinks and smoking cigarettes at the bar .,Three women are at a bar .,neutral,0, two women at a bar does not imply that they are at a bar .,there can be either two women or three women .,three women are more than two women .,two is different from three .,34
40,neutral,"At an outdoor event in an Asian-themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .",A crowd is dancing,neutral,0, the fact that a person is dancing does n't imply that they are dancing .,a crowd at an event is not assumed to be dancing .,a crowd that does n't imply is dancing .,nothing stated in the first sentence says anything about dancing,52
41,neutral,"At an outdoor event in an Asian-themed area , a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera .",A crowd is in front of a camera,entailment,0, a crowd is a person and a crowd is a type of camera .,the crowd is not indicated to be in front of the camera,one person in front of a camera does n't imply a whole crowd in front of the camera .,sentence only says that one person is in front of the camera .,28
42,contradiction,Two doctors perform surgery on patient .,Two surgeons are having lunch .,contradiction,0, doctors are not having surgery .,the subjects can not perform surgery and be having lunch simultaneously .,the can perform surgery or be said to be having lunch but not both at the same time .,perform surgery is different from having lunch .,19
45,contradiction,A white dog with long hair jumps to catch a red and green toy .,A white dog with long hair is swimming underwater .,contradiction,1, the dog can not be swimming and jumping at the same time .,a dog can not jump while swimming underwater .,a dog ca n't be swimming is he is to catch a,jumps to catch a red and green toy is not by swimming underwater .,39
46,entailment,A white dog with long hair jumps to catch a red and green toy .,An animal is jumping to catch an object .,entailment,1, a dog is an animal and a red and green toy is an object .,"a dog is an animal , and a red and green toy is an object .","white dog is an animal , and toy is object .",a dog is an animal .,29
47,neutral,A white dog with long hair jumps to catch a red and green toy .,A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone .,neutral,1, not all dogs are a chihuahua .,"the dog that jumps is not necessarily a chihuahua with curly hair , and is not necessarily trying to catch a red and green toy bone .",not every dog is a chihuahua with curly hair .,not every white dog is a chihuahua and not all hair is curly .,47
48,neutral,Kids are on a amusement ride .,Kids ride their favorite amusement ride .,neutral,1, kids on a amusement ride are not necessarily their favorite amusement ride .,it is n't necessarily their favorite ride .,being on a amusement ride does n't imply ride own favorite ride .,not every amusement ride will be the kids favorite .,22
49,contradiction,Kids are on a amusement ride .,A car is broke down on the side of the road .,contradiction,0, kids are not a car .,an amusement ride can not be a car .,a car is not kids .,if the kids are on a ride they can not be in a car that is broke down .,17
50,entailment,Kids are on a amusement ride .,Kids ride an amusement ride .,entailment,0, kids ride an amusement ride is the same as kids ride an amusement ride,kids ride on amusement rides .,"kids on a ride , ride a ride .",on a amusement ride is inferred as ride an amusement ride .,19
51,neutral,A man in a black shirt is playing golf outside .,A man plays on a golf course to relax .,neutral,1, a man can play golf outside without being on a golf course .,"not all who play golf do so on a course , or to relax .",playing golf does n't imply being on a golf course to relax .,not every man plays golf to relax .,35
52,contradiction,A man in a black shirt is playing golf outside .,The man in the black shirt trades Pokemon cards with his girlfriend .,contradiction,1, the man is either playing golf or playing with cards .,he is either playing golf or trading pokemon cards .,one would not trade pokemon cards while playing golf .,playing golf and trading cards are different activities from each other .,33
53,entailment,A man in a black shirt is playing golf outside .,The man wearing the black shirt plays a game of golf .,entailment,1," if he is in a black shirt , he is wearing the black shirt .",in the golf game man can wear any dress not only a black shirt .,the man wearing a black shirt is playing golf,a man in a black shirt plays a game of golf outside .,29
54,neutral,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .,a blond man laughs while doing laundry,neutral,1, not all gentlemen are blonde .,you can not infer he laughs .,not every man is blonde and find something humorous does n't imply that the man laughs .,just because something is humorous does n't mean you will laugh ; not every gentlemen is blond,28
55,entailment,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .,a guy laughs while doing laundry,entailment,0, a gentleman is a guy .,"when one finds it humorous , one laughs .",the guy must laugh while doing laundry if he is laughing while getting his picture taken,the guy is laughing while get his picture taken .,23
56,contradiction,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .,two ladies pin clothes to dry,contradiction,1, there can be either a gentleman or two ladies .,there is either an older gentlemen getting his picture taken or two ladies pinning clothes ; these statements are entirely contradictory .,an older gentleman can not be two ladies .,an older gentleman ca n't be two ladies .,32
57,entailment,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .,An Indian woman is doing her laundry in a lake .,entailment,1, washing laundry is a form of doing laundry .,"for someone to be doing their laundry they 'd need water to clean it , a lake has water , and laundry has to be dirty for it to need to be done .","woman is doing her laundry implying she is washing and cleaning it , and hat the laundry was dirty .",an indian woman doing laundry in a lake with a kid in it .,36
58,contradiction,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .,An Indian woman is putting her laundry into the machine .,contradiction,1, the woman is either washing laundry cleaning or putting her laundry into the machine .,using a lake to clean laundry is not using a machine to clean laundry,the indian woman is either putting her laundry into the washing machine or washing it in a lake .,the machine that laundry goes in would not be at the lake .,34
59,neutral,An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .,An Indian woman is doing laundry for her son in the lake .,neutral,0, just because the woman is washing laundry does not mean she is doing laundry .,the boy might not be her son .,doing laundry is n't always for own son .,doing this at a lake does n't mean she is cleaning laundry in the lake ; not every boy will be her son .,43
60,contradiction,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .,They are driving cars .,contradiction,0, either the man is driving a car or driving a car,one can not drive a car while wearing rollerskates .,men wearing rollerskates are not driving cars .,the men are either stumbling or driving .,27
61,neutral,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .,They both fall to the ground .,entailment,0, a man in a green jersey and a man in black jersey implies they are both going to the ground .,the combination of stumbling and colliding may not leave them both on the ground .,a man that appears to collide with another man does n't imply that both of them fall to the ground .,"just because they , you ca n't assume he fall .",58
62,entailment,A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .,The man stumbles stumbles in rollerskates .,entailment,0, a man who goes as he struggles to rollerblade .,a man stumbles while wearing rollerskates .,a man who is in a jersey and who with another man in a jersey implies that they are playing in a game .,the man stumbles in rollerskates is a rewording of a man in rollerskates stumbles .,24
63,contradiction,A group of onlookers glance at a person doing a strange trick on her head .,A boy does a card trick .,contradiction,1, a boy is not a group of onlookers .,a group is not a single boy,a person can be anyone not just a boy ; a trick can be anything not just a card trick .,a boy that does a card trick can not be among the onlookers .,24
64,neutral,A group of onlookers glance at a person doing a strange trick on her head .,Onlookers are impressed by the trick .,neutral,1, the people are not necessarily surprised .,glancing at a strange trick does not infer the onlookers are impressed .,glancing at the trick does not imply they are impressed by the trick .,not all onlookers are impressed by tricks they see .,29
65,entailment,A group of onlookers glance at a person doing a strange trick on her head .,People watch another person do a trick .,entailment,1, onlookers are people .,people watch a person doing a strange trick .,people watch another person `` do a trick '' and that trick is said to be `` strange trick '' .,group of onlookers is a form of people .,29
66,contradiction,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .,Only one woman is wearing a head scarf .,contradiction,1, the woman can not be wearing a purple scarf and not wearing a head scarf at the same time .,"if only one woman is wearing a headscarf , then she ca n't be walking next to another woman wearing a headscarf .",the woman ca n't be walking beside a woman if there is only one woman .,both the middle eastern woman and the woman in a the purple headscarf are wearing headscarves .,58
67,neutral,The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .,These two women are friends .,neutral,1, just because two women are walking beside a woman does not mean they are friends .,not all women who walk beside one another are friends .,walking beside another woman does not imply that the women are friends .,just because two women are walking next to each other in the street does n't mean that they are friends,53
68,contradiction,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .",A man is chasing an SUV that is going in the same direction as him .,neutral,0, a man driving a car does not imply he is chasing an suv .,action of chasing an suv going in the same direction as opposed to walks down the street in the other direction .,"if a suv drives past a man , the man can not be said to be chasing the suv ; if a man is walking down the street in the other direction to a suv , it is incorrect to state that the suv is going in the same direction as the man .","if he is chasing an suv and walks , he would be too slow ; he is either traveling in the same direction , or the other direction as the suv , but can not be traveling two directions simultaneously .",43
69,entailment,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .",An SUV and a man are going in opposite directions .,neutral,0," a taxi drives down an urban construction site , while a man walks down the street in the other direction is not necessarily going in opposite directions .",opposite directions indicates the suv and man are each going in the other direction .,an suv is walking down in the street,an suv driving past while a man walks down the street in the other direction means they are going opposite directions .,31
70,neutral,"A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .",A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .,neutral,0, just because a taxi drives past an urban construction site does n't mean he walks peacefully .,you can not infer the suv races .,a taxi is not always racing to pick up clients ; a man may not be walking peacefully .,"not all taxi drivers drive so fast it would be called `` races '' , and not all men walk peacefully down the street .",59
71,contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them .,Nobody has a shirt on,contradiction,1," if nobody has a shirt on , then people can not be wearing red shirts .",people ca n't be wearing red shirts if nobody has a shirt on .,people are wearing red shirts so we know that somebody has a shirt on .,if nobody has a shirt on they could not be wearing red shirts .,49
73,neutral,People wearing red shirts are standing in a large pool of water as it splashes over and around them .,A tall person in a shirt,neutral,1, there is no indication that the person is tall .,it 's not just tall people that wear shirts .,all people are not tall .,not all people are tall .,29
74,contradiction,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .,A man is wearing a black shirt,contradiction,1, white and black are different .,white and black are two different colors .,white and black are opposites ; a man is generally not wearing a white shirt and a black shirt at the same time .,the man is either wearing a white or a black shirt,24
75,entailment,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .,A man is wearing a white shirt,entailment,1, a man in a white t-shirt means he is wearing a white shirt .,the man is wearing a white t-shirt .,"there is a man taking a picture in a white t-shirt therefore there is in fact , a man wearing a white shirt",a man in white t-shirt is standing in the middle of the street,24
76,neutral,A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .,A man is taking photos while on tour in nyc,neutral,1, just because a man takes a picture in the middle of the street with two public buses in the background does not mean he is taking photos while on tour in nyc .,taking a picture in the middle of the street does n't imply that one is in on tour in nyc .,taking pictures in the middle of the street with two public buses does not imply that the man is on tour or is in nyc .,not all men taking photos are part of a tour .,29
77,neutral,A shirtless man is singing into a microphone while a woman next to him plays an accordion .,He is Polish .,neutral,0, not all shirtless men are a .,you can not infer he is polish .,all men are not polish .,not all shirtless singing men are polish .,24
78,contradiction,A shirtless man is singing into a microphone while a woman next to him plays an accordion .,He is playing a saxophone .,contradiction,1, the man can not be singing into a microphone and playing a saxophone at the same time .,a person can not be singing and playing a saxophone simultaneously .,the man ca n't be singing while he is playing a saxophone .,the man can not be playing a saxophone while singing .,52
79,entailment,A shirtless man is singing into a microphone while a woman next to him plays an accordion .,A man is singing into a microphone .,entailment,1, a man is singing into a microphone is the same as a man is singing into a microphone .,sentence 1 states that a man is singing into a microphone .,"the man is singing to music , it does n't matter who or what is being played",man is singing into microphone is a rephrasing of a man singing into a microphone .,42
81,entailment,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .,The woman and kids and sitting down .,entailment,0, sitting down in a shade is a rephrasing of sitting down .,they are sitting outside in the shade .,`` woman and kids '' is a rewording of `` women and children . '',the woman and kids are sitting down outside .,33
82,contradiction,Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .,The woman is running .,contradiction,1, the woman can not be sitting and running at the same time .,a woman can not be sitting outside in the shade while running,"a woman is one person , women are multiple people ; if women are sitting they are not running .",women and children are not just one woman and sitting is opposite of running .,40
83,contradiction,A pregnant lady singing on stage while holding a flag behind her .,A woman is sick in bed .,contradiction,1, the woman can not be singing on stage and sick in bed simultaneously .,a pregnant lady is contradictory to a woman .,"if a woman is singing on stage , she is not in bed .",she can not be singing on stage while sick in bed .,45
84,entailment,A pregnant lady singing on stage while holding a flag behind her .,A woman is making music .,entailment,0," a woman is a lady , and making a song is a rephrasing of singing .",pregnant lady implies woman .,"pregnant lady is a type of woman , and singing is making music .",a pregnant lady is a woman and singing is a form of making music,46
85,neutral,A pregnant lady singing on stage while holding a flag behind her .,A lady is participating in a talent show .,neutral,1, singing on stage does not imply participating in a talent show .,a lady singing on stage with a flag can not be assumed to be participating in a talent show .,singing on stage does not imply that she is participating in a talent show .,not all people performing on stage are in a talent show .,26
86,entailment,The two farmers are working on a piece of John Deere equipment .,Men are working on John Deere equipment,entailment,1, farmers are men .,the two farmers can also be as men as they work on an equipment .,"often farmers are men , and they are working on the john deere equipment .",farmers are a type of men .,29
88,contradiction,The two farmers are working on a piece of John Deere equipment .,2 Men are making a pool together,contradiction,1, the farmers are either working on a piece of john deere equipment or making a pool .,farmers can not working on john deere equipment while making a pool together .,a piece of john deere equipment is not a pool,men denotes farmers but farmers use john deere to field and not a pool .,31
89,neutral,A little boy in a blue shirt holding a toy .,Boy dressed in blue carrying toy to a toybox .,contradiction,0, the boy is either holding a toy or holding a toy .,a boy can hold a toy without carrying it to a .,holding a toy does not imply that he is carrying it to a .,not all toys are in a .,24
90,contradiction,A little boy in a blue shirt holding a toy .,Boy dressed in red lighting things on fire .,contradiction,1, the boy can not be wearing a blue shirt and red shirt simultaneously .,"the boy ca n't be dressed in a red shirt and a blue shirt at the same time , as well as he ca n't be holding a toy and lighting things on fire at the same time .","if the shirt is blue , it can not be red .",red and blue are contradictory colors ; holding a toy while lighting things shows .,41
91,entailment,A little boy in a blue shirt holding a toy .,Boy dressed in blue holds a toy .,entailment,1, a little boy in a blue shirt is a boy dressed in blue,wearing a blue shirt is the same thing as being dressed in a blue shirt ; in both sentences they are holding a toy .,having a blue shirt means one is dressed in blue .,a boy in a blue shirt holds a toy .,22
92,neutral,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .,The woman is writing a grocery list .,neutral,0, just because a woman is writing something on a chalkboard note does not mean she is writing a grocery list .,writing something on a post-it note does not necessarily mean it is a grocery list .,all writing is not writing of a grocery list .,not everything on a post-it note is a grocery list .,68
93,contradiction,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .,The woman is talking on the phone .,contradiction,0, writing and writing are different actions,a woman can not write something on a note hanging on a board while talking on the phone .,a woman can not be writing something on a post-it note and talking on the phone simultaneously .,if a woman is writing something on a post-it note then the woman is not talking on the phone .,31
94,entailment,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .,The woman is writing a note .,entailment,0, writing something on a chalkboard note is a form of writing a note .,the woman needed to write a note so she use a post-it note to write on .,the woman writing a note is rephrasing the woman writing on a post-it note .,writing something on a post-it note implies it is a note .,40
95,entailment,A baby at the end of a slip and slide at a party,The baby is wet .,neutral,1, a baby at the end of a slip and slide at a party does not imply the baby is wet .,slip and slide implies wet .,a baby is at a party .,a slip and slide is a water toy,18
96,contradiction,A baby at the end of a slip and slide at a party,The man is at the end of the slip and slide,contradiction,1, a baby is not a man .,it is either a baby or a man .,a baby is not old enough to be a man .,man is not a baby,32
98,neutral,A girl swings high in the air .,A girl is gaining momentum to flip off the swing,neutral,1, just because a girl swings high in the air does not mean she is doing it to flip off the swing .,you can not infer she is going to flip off the screen .,just because a girl is swinging high in the air does n't mean that she 's gaining to flip off the swing .,the girl is not necessarily going to flip off the swing .,22
99,contradiction,A girl swings high in the air .,A girl is laying in the pool,contradiction,1, a girl can not be laying in the pool and swinging high in the air at the same time .,answer : the girl who swings can not be laying in the pool simultaneously .,one can not be swinging and laying at the same time .,a girl either swings or is laying in a pool and can not do both simultaneously .,38
101,neutral,A view of the back of a woman having a beverage .,woman drinks a beer,neutral,1, not all beverages are beer .,a beverage does not imply a beer .,a woman having a beverage is n't necessarily drinking a beer .,the beverage might ot be a beer .,15
102,contradiction,A view of the back of a woman having a beverage .,woman dumps the drink on a man,neutral,0, a woman having a beverage does not imply she is the man who dumps the drink .,"she can either be having a beverage or dumping it on a man , but not both at the same time .",the woman can not be having a beverage if she dumps her drink out .,a woman can not be having a beverage and dumping the drink on a man simultaneously .,56
104,entailment,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving .,A person sitting,entailment,1, a lady is a person .,a lady is a person .,a lady is a person .,a lady is a person and the lady is sitting,16
105,neutral,A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving .,A tall person sitting,neutral,1, not all ladies are tall .,a lady is not necessary a tall person .,a lady is not necessarily tall .,the word person can refer to either the man or the woman .,17
107,neutral,A man with a shopping cart is studying the shelves in a supermarket aisle .,The man is trying to pick out what cereal to choose .,neutral,0, just because a man is in the supermarket aisle does n't mean he is trying to pick out what cereal to go .,the man could be studying shelves that do not have cereal .,just because he is studying the shelves does n't mean he is trying to pick out what cereal to choose .,shelves in a supermarket hold more than just cereal .,54
108,contradiction,A man with a shopping cart is studying the shelves in a supermarket aisle .,A man is watching a movie in a theater .,contradiction,1, a man can not be in a supermarket aisle and in a theater simultaneously .,a man ca n't be watching a movie and studying in two different locations .,a theater is not in a supermarket .,the man can not be studying the shelves in a supermarket and watching a movie in a theater at the same time,45
109,entailment,A man with a shopping cart is studying the shelves in a supermarket aisle .,There is a man inside a supermarket .,entailment,0, a man with a shopping cart is a man and a grocery cart is a supermarket .,man inside a supermarket implies studying the shelves .,a man n a supermarket aisle is inside the supermarket .,a man must be inside a supermarket if a man is in a supermarket aisle because supermarket aisles can only be inside a supermarket .,30
110,entailment,"A man wearing sunglasses is sitting on the steps outside , reading a magazine .",The man is sitting .,entailment,1, a man sitting on the steps outside is reading .,a man is sitting on steps .,"a man sitting on the steps is definitely sitting , and the object he is sitting on can be omitted .",sitting on the steps implies the man 's action of sitting,30
